Firm,V1
Firm 313,-49.9978907638205
Firm 274,-29.2680971098724
Firm 93,-3.11640693243601
Firm 303,-2.57922696956711
Firm 33,-0.680714447774041
Firm 142,0
Firm 143,0
Firm 186,0
Firm 248,0
Firm 282,0
Firm 157,0.00573078324429247
Firm 46,0.0481001375127106
Firm 59,0.062378133877021
Firm 149,0.0964829567884526
Firm 231,0.0965116583237101
Firm 86,0.122589506118579
Firm 159,0.126664550977466
Firm 280,0.163386110202086
Firm 324,0.17617738522108
Firm 45,0.220883057703737
Firm 292,0.23172307551322
Firm 286,0.243341618066104
Firm 61,0.248137106553926
